user_id,date,party,amount,notes,type
2,2024-08-12,Father,55,,Received
2,2024-10-08,Abd,-30,Etiam pretium iaculis justo.,Received
2,2025-03-30,Abd,65,,Received
2,2024-05-17,Abd,-40,,Received
2,2024-05-08,Job,-20,,Received
2,2024-08-20,Job,-40,"Nam ultrices, libero non mattis pulvinar, nulla pede ullamcorper augue, a suscipit nulla elit ac nulla.",Received
2,2024-11-19,Job,5,,Received
2,2024-04-20,Aunt Mina,-25,,Received
2,2025-07-29,Aunt Mina,65,,Received
2,2024-08-18,Abd,20,,Received
2,2025-03-16,Father,40,"Morbi sem mauris, laoreet ut, rhoncus aliquet, pulvinar sed, nisl.",Received
2,2024-09-09,Father,-35,,Received
2,2024-06-19,Aunt Mina,-45,,Received
2,2025-03-25,Abd,-25,,Received
2,2024-09-28,Father,65,Phasellus sit amet erat.,Received
2,2024-10-02,Job,20,,Received
2,2024-03-17,Job,65,,Received
2,2024-07-19,Job,-55,,Received
2,2024-12-11,Father,-60,,Received
2,2025-01-04,Aunt Mina,45,,Received
2,2025-03-09,Job,15,,Received
2,2024-05-19,Father,-35,Vivamus in felis eu sapien cursus vestibulum.,Received
2,2024-06-14,Job,-45,,Received
2,2025-02-01,Aunt Mina,-10,Vivamus vestibulum sagittis sapien.,Received
2,2024-10-09,Abd,-5,Aenean auctor gravida sem.,Received
2,2024-01-23,Father,-50,Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Duis faucibus accumsan odio.,Received
2,2024-10-08,Abd,-30,,Received
2,2024-12-12,Job,55,Nullam sit amet turpis elementum ligula vehicula consequat.,Received
2,2025-07-03,Aunt Mina,5,,Received
2,2025-08-25,Abd,-55,,Received
2,2024-03-12,Father,5,,Received
2,2025-08-03,Aunt Mina,10,,Received
2,2024-04-17,Job,-30,Nulla suscipit ligula in lacus.,Received
2,2025-08-24,Father,45,,Received
2,2024-01-22,Father,-55,Nam nulla.,Received
2,2024-10-15,Abd,25,,Received
2,2024-08-16,Abd,-45,Phasellus id sapien in sapien iaculis congue.,Received
2,2024-11-27,Job,-55,,Received
2,2025-07-22,Aunt Mina,75,,Received
2,2025-04-11,Job,35,,Received
2,2024-06-14,Father,5,,Received
2,2025-02-08,Job,-25,Nullam molestie nibh in lectus.,Received
2,2024-07-25,Aunt Mina,-15,Maecenas pulvinar lobortis est.,Received
2,2024-05-16,Abd,75,,Received
2,2025-01-06,Aunt Mina,-45,,Received
2,2025-04-27,Father,5,,Received
2,2025-01-11,Father,-30,Nulla ut erat id mauris vulputate elementum.,Received
2,2025-05-30,Aunt Mina,-55,Sed accumsan felis.,Received
2,2024-06-21,Aunt Mina,30,,Received
2,2024-03-04,Aunt Mina,-20,Integer non velit.,Received
